,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,73168,1529,1,1,1.0,0,0,0,12,2012
0,73217,1548,1,2,0.5,0,0,0,5,2012
0,73217,1575,0,1,0.0,0,0,0,6,2012
0,73217,1567,1,2,0.5,0,0,0,8,2012
0,73217,1709,1,1,1.0,0,0,0,9,2012
0,73236,1459,1,1,1.0,0,0,0,3,2012
0,73236,1548,1,1,1.0,0,0,0,5,2012
0,73236,1529,1,1,1.0,0,0,0,12,2012
0,73275,1469,0,1,0.0,0,0,0,1,2012
0,73275,1540,0,1,0.0,0,0,1,11,2012
0,73283,1575,1,2,0.5,0,0,0,6,2012
0,73319,1575,0,1,0.0,0,0,0,6,2012
0,73349,1469,0,1,0.0,0,0,0,1,2012
0,73349,1543,0,1,0.0,0,0,0,4,2012
0,73352,1543,3,4,0.75,0,0,0,4,2012
0,73352,1615,1,2,0.5,0,0,0,7,2012
0,73408,1469,0,1,0.0,0,0,0,1,2012
0,73443,1469,0,2,0.0,0,0,0,1,2012
0,73443,1329,0,1,0.0,0,0,0,2,2012
0,73443,1543,0,1,0.0,0,0,0,4,2012
0,73443,1548,0,1,0.0,0,0,0,5,2012
0,73483,1469,0,1,0.0,0,0,0,1,2012
0,73483,1329,1,1,1.0,0,0,0,2,2012
0,73483,1548,0,1,0.0,0,0,0,5,2012
0,73504,1329,0,1,0.0,0,0,0,2,2012
0,73504,1540,0,1,0.0,0,0,1,11,2012
0,73555,1329,0,1,0.0,0,0,0,2,2012
0,73555,1459,1,1,1.0,0,0,0,3,2012
0,73555,1543,1,3,0.3333333333333333,0,0,0,4,2012
0,73555,1548,1,2,0.5,0,0,0,5,2012
0,73555,1615,3,4,0.75,0,0,0,7,2012
0,73555,1567,0,1,0.0,0,0,0,8,2012
0,73555,1709,2,4,0.5,0,0,0,9,2012
0,73555,1490,1,1,1.0,0,0,0,10,2012
0,73555,1529,2,3,0.6666666666666666,0,0,0,12,2012
0,73616,1469,1,2,0.5,0,0,0,1,2012
0,73616,1329,1,1,1.0,0,0,0,2,2012
0,73616,1459,0,1,0.0,0,0,0,3,2012
0,73616,1543,4,6,0.6666666666666666,0,0,0,4,2012
0,73616,1575,1,1,1.0,0,0,0,6,2012
0,73616,1615,2,2,1.0,0,0,0,7,2012
0,73616,1540,1,1,1.0,0,0,1,11,2012
0,73616,1529,1,2,0.5,0,0,0,12,2012
0,73622,1459,1,1,1.0,0,0,0,3,2012
0,73622,1575,1,1,1.0,0,0,0,6,2012
0,73624,1469,1,2,0.5,0,0,0,1,2012
0,73624,1548,0,1,0.0,0,0,0,5,2012
