Region,Total_births,Year
05001 MEDELLÍN,33228,2008
05001 MEDELLÍN,31893,2009
05001 Medellín,28587,2010
05001 Medellín,27675,2011
05001 Medellín,27816,2012
05001 Medellín,27565,2013
05001 Medellín,28474,2014
05001 Medellín,29211,2015
05001 Medellín,28214,2016
05001 Medellín,28285,2017
05002 ABEJORRAL,309,2008
05002 ABEJORRAL,271,2009
05002 Abejorral,241,2010
05002 Abejorral,253,2011
05002 Abejorral,246,2012
05002 Abejorral,229,2013
05002 Abejorral,216,2014
05002 Abejorral,178,2015
05002 Abejorral,174,2016
05002 Abejorral,180,2017
05004 ABRIAQUÍ,27,2008
05004 ABRIAQUÍ,21,2009
05004 Abriaquí,34,2010
05004 Abriaquí,30,2011
05004 Abriaquí,31,2012
05004 Abriaquí,22,2013
05004 Abriaquí,27,2014
05004 Abriaquí,24,2015
05004 Abriaquí,12,2016
05004 Abriaquí,16,2017
05021 ALEJANDRÍA,69,2008
05021 ALEJANDRÍA,44,2009
05021 Alejandría,53,2010
05021 Alejandría,53,2011
05021 Alejandría,56,2012
05021 Alejandría,53,2013
05021 Alejandría,50,2014
05021 Alejandría,59,2015
05021 Alejandría,40,2016
05021 Alejandría,49,2017
05030 AMAGÁ,361,2008
05030 AMAGÁ,354,2009
05030 Amagá,308,2010
05030 Amagá,275,2011
05030 Amagá,284,2012
05030 Amagá,259,2013
05030 Amagá,266,2014
05030 Amagá,281,2015
05030 Amagá,253,2016
05030 Amagá,278,2017
05031 AMALFI,411,2008
05031 AMALFI,404,2009
05031 Amalfi,392,2010
05031 Amalfi,401,2011
05031 Amalfi,355,2012
05031 Amalfi,337,2013
05031 Amalfi,295,2014
05031 Amalfi,297,2015
05031 Amalfi,316,2016
05031 Amalfi,321,2017
05034 ANDES,650,2008
05034 ANDES,594,2009
05034 Andes,552,2010
05034 Andes,556,2011
05034 Andes,528,2012
05034 Andes,544,2013
05034 Andes,464,2014
05034 Andes,470,2015
05034 Andes,505,2016
05034 Andes,506,2017
05036 ÁNGELÓPOLIS,85,2008
05036 ÁNGELÓPOLIS,73,2009
05036 Ángelópolis,79,2010
05036 Ángelópolis,63,2011
05036 Ángelópolis,54,2012
05036 Ángelópolis,47,2013
05036 Ángelópolis,61,2014
05036 Ángelópolis,57,2015
05036 Ángelópolis,51,2016
05036 Ángelópolis,69,2017
05038 ANGOSTURA,179,2008
05038 ANGOSTURA,160,2009
05038 Angostura,160,2010
05038 Angostura,173,2011
05038 Angostura,142,2012
05038 Angostura,139,2013
05038 Angostura,144,2014
05038 Angostura,119,2015
05038 Angostura,144,2016
05038 Angostura,119,2017
05040 ANORÍ,283,2008
05040 ANORÍ,278,2009
05040 Anorí,306,2010
05040 Anorí,287,2011
05040 Anorí,269,2012
05040 Anorí,237,2013
05040 Anorí,226,2014
05040 Anorí,213,2015
05040 Anorí,199,2016
05040 Anorí,224,2017
05042 SANTAFÉ DE ANTIOQUIA,384,2008
05042 SANTAFÉ DE ANTIOQUIA,330,2009
05042 Santafé de Antioquia,331,2010
05042 Santafé de Antioquia,288,2011
05042 Santafé de Antioquia,317,2012
05042 Santafé de Antioquia,290,2013
05042 Santafé de Antioquia,395,2014
05042 Santafé de Antioquia,406,2015
05042 Santafé de Antioquia,363,2016
05042 Santafé de Antioquia,425,2017
05044 ANZÁ,121,2008
05044 ANZÁ,122,2009
05044 Anzá,96,2010
05044 Anzá,101,2011
05044 Anzá,91,2012
05044 Anzá,95,2013
05044 Anzá,94,2014
05044 Anzá,88,2015
05044 Anzá,88,2016
05044 Anzá,94,2017
05045 APARTADÓ,2801,2008
05045 APARTADÓ,2573,2009
05045 Apartadó,2220,2010
05045 Apartadó,2345,2011
05045 Apartadó,2249,2012
05045 Apartadó,2110,2013
05045 Apartadó,2032,2014
05045 Apartadó,2059,2015
05045 Apartadó,2007,2016
05045 Apartadó,2047,2017
05051 ARBOLETES,494,2008
05051 ARBOLETES,422,2009
05051 Arboletes,407,2010
05051 Arboletes,498,2011
05051 Arboletes,486,2012
05051 Arboletes,467,2013
05051 Arboletes,496,2014
05051 Arboletes,491,2015
05051 Arboletes,457,2016
05051 Arboletes,473,2017
05055 ARGELIA,148,2008
05055 ARGELIA,140,2009
05055 Argelia,111,2010
05055 Argelia,130,2011
05055 Argelia,125,2012
05055 Argelia,120,2013
05055 Argelia,106,2014
05055 Argelia,103,2015
05055 Argelia,82,2016
05055 Argelia,88,2017
05059 ARMENIA,56,2008
05059 ARMENIA,60,2009
05059 Armenia,53,2010
05059 Armenia,46,2011
05059 Armenia,50,2012
05059 Armenia,36,2013
05059 Armenia,40,2014
05059 Armenia,39,2015
05059 Armenia,23,2016
05059 Armenia,30,2017
05079 BARBOSA,629,2008
05079 BARBOSA,563,2009
05079 Barbosa,496,2010
05079 Barbosa,447,2011
05079 Barbosa,501,2012
05079 Barbosa,432,2013
05079 Barbosa,437,2014
05079 Barbosa,410,2015
05079 Barbosa,436,2016
05079 Barbosa,504,2017
05086 BELMIRA,91,2008
05086 BELMIRA,70,2009
05086 Belmira,76,2010
05086 Belmira,77,2011
05086 Belmira,83,2012
05086 Belmira,71,2013
05086 Belmira,61,2014
05086 Belmira,42,2015
05086 Belmira,66,2016
05086 Belmira,57,2017
05088 BELLO,5597,2008
05088 BELLO,5156,2009
05088 Bello,4822,2010
05088 Bello,4558,2011
05088 Bello,4831,2012
05088 Bello,4883,2013
05088 Bello,5026,2014
05088 Bello,4941,2015
05088 Bello,5045,2016
05088 Bello,5125,2017
05091 BETANIA,144,2008
05091 BETANIA,154,2009
05091 Betania,118,2010
05091 Betania,112,2011
05091 Betania,117,2012
05091 Betania,99,2013
05091 Betania,101,2014
05091 Betania,103,2015
05091 Betania,99,2016
05091 Betania,76,2017
05093 BETULIA,262,2008
05093 BETULIA,285,2009
05093 Betulia,275,2010
05093 Betulia,289,2011
05093 Betulia,267,2012
05093 Betulia,238,2013
05093 Betulia,226,2014
05093 Betulia,228,2015
05093 Betulia,223,2016
05093 Betulia,220,2017
05101 CIUDAD BOLÍVAR,505,2008
05101 CIUDAD BOLÍVAR,504,2009
05101 Ciudad Bolívar,426,2010
05101 Ciudad Bolívar,456,2011
05101 Ciudad Bolívar,448,2012
05101 Ciudad Bolívar,397,2013
05101 Ciudad Bolívar,428,2014
05101 Ciudad Bolívar,392,2015
05101 Ciudad Bolívar,354,2016
05101 Ciudad Bolívar,314,2017
05107 BRICEÑO,187,2008
05107 BRICEÑO,160,2009
05107 Briceño,150,2010
05107 Briceño,149,2011
05107 Briceño,133,2012
05107 Briceño,127,2013
05107 Briceño,121,2014
05107 Briceño,116,2015
05107 Briceño,116,2016
05107 Briceño,99,2017
05113 BURITICÁ,123,2008
05113 BURITICÁ,114,2009
05113 Buriticá,121,2010
05113 Buriticá,117,2011
05113 Buriticá,103,2012
05113 Buriticá,107,2013
05113 Buriticá,109,2014
05113 Buriticá,92,2015
05113 Buriticá,118,2016
05113 Buriticá,99,2017
05120 CÁCERES,674,2008
05120 CÁCERES,667,2009
05120 Cáceres,643,2010
05120 Cáceres,585,2011
05120 Cáceres,589,2012
05120 Cáceres,567,2013
05120 Cáceres,500,2014
05120 Cáceres,403,2015
05120 Cáceres,376,2016
05120 Cáceres,319,2017
05125 CAICEDO,155,2008
05125 CAICEDO,120,2009
05125 Caicedo,122,2010
05125 Caicedo,123,2011
05125 Caicedo,104,2012
05125 Caicedo,84,2013
05125 Caicedo,102,2014
05125 Caicedo,111,2015
05125 Caicedo,124,2016
05125 Caicedo,118,2017
05129 CALDAS,899,2008
05129 CALDAS,908,2009
05129 Caldas,740,2010
05129 Caldas,748,2011
05129 Caldas,724,2012
05129 Caldas,742,2013
05129 Caldas,812,2014
05129 Caldas,844,2015
05129 Caldas,864,2016
05129 Caldas,870,2017
05134 CAMPAMENTO,145,2008
05134 CAMPAMENTO,128,2009
05134 Campamento,119,2010
05134 Campamento,106,2011
05134 Campamento,128,2012
05134 Campamento,115,2013
05134 Campamento,101,2014
05134 Campamento,90,2015
05134 Campamento,76,2016
05134 Campamento,63,2017
05138 CAÑASGORDAS,190,2008
05138 CAÑASGORDAS,182,2009
05138 Cañasgordas,191,2010
05138 Cañasgordas,183,2011
05138 Cañasgordas,195,2012
05138 Cañasgordas,182,2013
05138 Cañasgordas,184,2014
05138 Cañasgordas,187,2015
05138 Cañasgordas,169,2016
05138 Cañasgordas,158,2017
05142 CARACOLÍ,57,2008
05142 CARACOLÍ,76,2009
05142 Caracolí,63,2010
05142 Caracolí,45,2011
05142 Caracolí,62,2012
05142 Caracolí,54,2013
05142 Caracolí,47,2014
05142 Caracolí,47,2015
05142 Caracolí,50,2016
05142 Caracolí,44,2017
05145 CARAMANTA,62,2008
05145 CARAMANTA,68,2009
05145 Caramanta,70,2010
05145 Caramanta,58,2011
05145 Caramanta,57,2012
05145 Caramanta,33,2013
05145 Caramanta,38,2014
05145 Caramanta,31,2015
05145 Caramanta,33,2016
05145 Caramanta,41,2017
05147 CAREPA,932,2008
05147 CAREPA,879,2009
05147 Carepa,897,2010
05147 Carepa,992,2011
05147 Carepa,959,2012
05147 Carepa,844,2013
05147 Carepa,947,2014
05147 Carepa,847,2015
05147 Carepa,851,2016
05147 Carepa,860,2017
05148 EL CARMEN DE VIBORAL,586,2008
05148 EL CARMEN DE VIBORAL,578,2009
05148 El Carmen de Viboral,542,2010
05148 El Carmen de Viboral,508,2011
05148 El Carmen de Viboral,527,2012
05148 El Carmen de Viboral,593,2013
05148 El Carmen de Viboral,605,2014
05148 El Carmen de Viboral,567,2015
05148 El Carmen de Viboral,668,2016
05148 El Carmen de Viboral,697,2017
05150 CAROLINA,39,2008
05150 CAROLINA,40,2009
05150 Carolina,27,2010
05150 Carolina,28,2011
05150 Carolina,28,2012
05150 Carolina,23,2013
05150 Carolina,26,2014
05150 Carolina,26,2015
05150 Carolina,25,2016
05150 Carolina,22,2017
05154 CAUCASIA,2226,2008
05154 CAUCASIA,2122,2009
05154 Caucasia,1633,2010
05154 Caucasia,1516,2011
05154 Caucasia,1764,2012
05154 Caucasia,2003,2013
05154 Caucasia,1855,2014
05154 Caucasia,1803,2015
05154 Caucasia,1980,2016
05154 Caucasia,2477,2017
05172 CHIGORODÓ,1512,2008
05172 CHIGORODÓ,1421,2009
05172 Chigorodó,1223,2010
05172 Chigorodó,1197,2011
05172 Chigorodó,1180,2012
05172 Chigorodó,1148,2013
05172 Chigorodó,1163,2014
05172 Chigorodó,1174,2015
05172 Chigorodó,1018,2016
05172 Chigorodó,1154,2017
05190 CISNEROS,165,2008
05190 CISNEROS,143,2009
05190 Cisneros,130,2010
05190 Cisneros,122,2011
05190 Cisneros,133,2012
05190 Cisneros,88,2013
05190 Cisneros,124,2014
05190 Cisneros,91,2015
05190 Cisneros,113,2016
05190 Cisneros,113,2017
05197 COCORNÁ,201,2008
05197 COCORNÁ,208,2009
05197 Cocorná,200,2010
05197 Cocorná,201,2011
05197 Cocorná,179,2012
05197 Cocorná,192,2013
05197 Cocorná,177,2014
05197 Cocorná,202,2015
05197 Cocorná,199,2016
05197 Cocorná,185,2017
05206 CONCEPCIÓN,62,2008
05206 CONCEPCIÓN,64,2009
05206 Concepción,52,2010
05206 Concepción,53,2011
05206 Concepción,42,2012
05206 Concepción,44,2013
05206 Concepción,44,2014
05206 Concepción,42,2015
05206 Concepción,45,2016
05206 Concepción,33,2017
05209 CONCORDIA,342,2008
05209 CONCORDIA,280,2009
05209 Concordia,279,2010
05209 Concordia,268,2011
05209 Concordia,250,2012
05209 Concordia,201,2013
05209 Concordia,200,2014
05209 Concordia,206,2015
05209 Concordia,201,2016
05209 Concordia,169,2017
05212 COPACABANA,741,2008
05212 COPACABANA,702,2009
05212 Copacabana,639,2010
05212 Copacabana,665,2011
05212 Copacabana,666,2012
05212 Copacabana,666,2013
05212 Copacabana,634,2014
05212 Copacabana,666,2015
05212 Copacabana,668,2016
05212 Copacabana,678,2017
05234 DABEIBA,333,2008
05234 DABEIBA,254,2009
05234 Dabeiba,272,2010
05234 Dabeiba,229,2011
05234 Dabeiba,294,2012
05234 Dabeiba,263,2013
05234 Dabeiba,289,2014
05234 Dabeiba,261,2015
05234 Dabeiba,288,2016
05234 Dabeiba,324,2017
05237 DON MATÍAS,317,2008
05237 DON MATÍAS,289,2009
05237 Don Matías,256,2010
05237 Don Matías,224,2011
05237 Don Matías,237,2012
05237 Don Matías,237,2013
05237 Don Matías,216,2014
05237 Don Matías,212,2015
05237 Don Matías,223,2016
05237 Don Matías,228,2017
05240 EBÉJICO,162,2008
05240 EBÉJICO,135,2009
05240 Ebéjico,127,2010
05240 Ebéjico,116,2011
05240 Ebéjico,124,2012
05240 Ebéjico,104,2013
05240 Ebéjico,90,2014
05240 Ebéjico,74,2015
05240 Ebéjico,108,2016
05240 Ebéjico,85,2017
05250 EL BAGRE,1092,2008
05250 EL BAGRE,1075,2009
05250 El Bagre,1021,2010
05250 El Bagre,1100,2011
05250 El Bagre,1174,2012
05250 El Bagre,1164,2013
05250 El Bagre,1247,2014
05250 El Bagre,1065,2015
05250 El Bagre,944,2016
05250 El Bagre,963,2017
05264 ENTRERRIOS,136,2008
05264 ENTRERRIOS,114,2009
05264 Entrerrios,101,2010
05264 Entrerrios,105,2011
05264 Entrerrios,99,2012
05264 Entrerrios,106,2013
05264 Entrerrios,99,2014
05264 Entrerrios,111,2015
05264 Entrerrios,120,2016
05264 Entrerrios,117,2017
05266 ENVIGADO,1653,2008
05266 ENVIGADO,1491,2009
05266 Envigado,1597,2010
05266 Envigado,1580,2011
05266 Envigado,1516,2012
05266 Envigado,1503,2013
05266 Envigado,1612,2014
05266 Envigado,1633,2015
05266 Envigado,1592,2016
05266 Envigado,1601,2017
05282 FREDONIA,251,2008
05282 FREDONIA,247,2009
05282 Fredonia,213,2010
05282 Fredonia,173,2011
05282 Fredonia,159,2012
05282 Fredonia,157,2013
05282 Fredonia,183,2014
05282 Fredonia,163,2015
05282 Fredonia,147,2016
05282 Fredonia,180,2017
05284 FRONTINO,306,2008
05284 FRONTINO,246,2009
05284 Frontino,304,2010
05284 Frontino,280,2011
05284 Frontino,296,2012
05284 Frontino,275,2013
05284 Frontino,267,2014
05284 Frontino,226,2015
05284 Frontino,251,2016
05284 Frontino,231,2017
05306 GIRALDO,71,2008
05306 GIRALDO,74,2009
05306 Giraldo,68,2010
05306 Giraldo,60,2011
05306 Giraldo,58,2012
05306 Giraldo,59,2013
05306 Giraldo,59,2014
05306 Giraldo,90,2015
05306 Giraldo,92,2016
05306 Giraldo,60,2017
05308 GIRARDOTA,495,2008
05308 GIRARDOTA,483,2009
05308 Girardota,466,2010
05308 Girardota,401,2011
05308 Girardota,424,2012
05308 Girardota,437,2013
05308 Girardota,445,2014
05308 Girardota,468,2015
05308 Girardota,454,2016
05308 Girardota,428,2017
05310 GÓMEZ PLATA,112,2008
05310 GÓMEZ PLATA,128,2009
05310 Gómez Plata,117,2010
05310 Gómez Plata,85,2011
05310 Gómez Plata,74,2012
05310 Gómez Plata,90,2013
05310 Gómez Plata,82,2014
05310 Gómez Plata,71,2015
05310 Gómez Plata,74,2016
05310 Gómez Plata,83,2017
05313 GRANADA,157,2008
05313 GRANADA,96,2009
05313 Granada,114,2010
05313 Granada,119,2011
05313 Granada,114,2012
05313 Granada,116,2013
05313 Granada,122,2014
05313 Granada,118,2015
05313 Granada,137,2016
05313 Granada,133,2017
05315 GUADALUPE,98,2008
05315 GUADALUPE,82,2009
05315 Guadalupe,79,2010
05315 Guadalupe,81,2011
05315 Guadalupe,63,2012
05315 Guadalupe,51,2013
05315 Guadalupe,63,2014
05315 Guadalupe,59,2015
05315 Guadalupe,62,2016
05315 Guadalupe,50,2017
05318 GUARNE,545,2008
05318 GUARNE,441,2009
05318 Guarne,440,2010
05318 Guarne,360,2011
05318 Guarne,466,2012
05318 Guarne,409,2013
05318 Guarne,404,2014
05318 Guarne,410,2015
05318 Guarne,458,2016
05318 Guarne,471,2017
05321 GUATAPÉ,51,2008
05321 GUATAPÉ,60,2009
05321 Guatapé,58,2010
05321 Guatapé,56,2011
05321 Guatapé,53,2012
05321 Guatapé,58,2013
05321 Guatapé,77,2014
05321 Guatapé,77,2015
05321 Guatapé,79,2016
05321 Guatapé,72,2017
05347 HELICONIA,73,2008
05347 HELICONIA,54,2009
05347 Heliconia,42,2010
05347 Heliconia,54,2011
05347 Heliconia,52,2012
05347 Heliconia,66,2013
05347 Heliconia,55,2014
05347 Heliconia,52,2015
05347 Heliconia,55,2016
05347 Heliconia,46,2017
05353 HISPANIA,65,2008
05353 HISPANIA,48,2009
05353 Hispania,43,2010
05353 Hispania,47,2011
05353 Hispania,51,2012
05353 Hispania,49,2013
05353 Hispania,46,2014
05353 Hispania,34,2015
05353 Hispania,40,2016
05353 Hispania,48,2017
05360 ITAGÜÍ,2927,2008
05360 ITAGÜÍ,2753,2009
05360 Itagüí,2518,2010
05360 Itagüí,2454,2011
05360 Itagüí,2495,2012
05360 Itagüí,2431,2013
05360 Itagüí,2556,2014
05360 Itagüí,2550,2015
05360 Itagüí,2588,2016
05360 Itagüí,2603,2017
05361 ITUANGO,474,2008
05361 ITUANGO,384,2009
05361 Ituango,391,2010
05361 Ituango,413,2011
05361 Ituango,374,2012
05361 Ituango,317,2013
05361 Ituango,316,2014
05361 Ituango,305,2015
05361 Ituango,330,2016
05361 Ituango,308,2017
05364 JARDÍN,258,2008
05364 JARDÍN,157,2009
05364 Jardín,169,2010
05364 Jardín,154,2011
05364 Jardín,174,2012
05364 Jardín,165,2013
05364 Jardín,198,2014
05364 Jardín,183,2015
05364 Jardín,183,2016
05364 Jardín,195,2017
05368 JERICÓ,131,2008
05368 JERICÓ,130,2009
05368 Jericó,123,2010
05368 Jericó,127,2011
05368 Jericó,124,2012
05368 Jericó,116,2013
05368 Jericó,107,2014
05368 Jericó,100,2015
05368 Jericó,94,2016
05368 Jericó,114,2017
05376 LA CEJA,767,2008
05376 LA CEJA,689,2009
05376 La Ceja,692,2010
05376 La Ceja,705,2011
05376 La Ceja,657,2012
05376 La Ceja,697,2013
05376 La Ceja,750,2014
05376 La Ceja,757,2015
05376 La Ceja,692,2016
05376 La Ceja,691,2017
05380 LA ESTRELLA,562,2008
05380 LA ESTRELLA,573,2009
05380 La Estrella,541,2010
05380 La Estrella,549,2011
05380 La Estrella,540,2012
05380 La Estrella,525,2013
05380 La Estrella,521,2014
05380 La Estrella,574,2015
05380 La Estrella,635,2016
05380 La Estrella,558,2017
05390 LA PINTADA,131,2008
05390 LA PINTADA,93,2009
05390 La Pintada,118,2010
05390 La Pintada,87,2011
05390 La Pintada,104,2012
05390 La Pintada,83,2013
05390 La Pintada,81,2014
05390 La Pintada,95,2015
05390 La Pintada,110,2016
05390 La Pintada,111,2017
05400 LA UNIÓN,337,2008
05400 LA UNIÓN,296,2009
05400 La Unión,258,2010
05400 La Unión,288,2011
05400 La Unión,239,2012
05400 La Unión,242,2013
05400 La Unión,258,2014
05400 La Unión,234,2015
05400 La Unión,235,2016
05400 La Unión,311,2017
05411 LIBORINA,151,2008
05411 LIBORINA,125,2009
05411 Liborina,110,2010
05411 Liborina,127,2011
05411 Liborina,103,2012
05411 Liborina,96,2013
05411 Liborina,88,2014
05411 Liborina,93,2015
05411 Liborina,111,2016
05411 Liborina,106,2017
05425 MACEO,140,2008
05425 MACEO,118,2009
05425 Maceo,92,2010
05425 Maceo,120,2011
05425 Maceo,110,2012
05425 Maceo,117,2013
05425 Maceo,96,2014
05425 Maceo,101,2015
05425 Maceo,107,2016
05425 Maceo,136,2017
05440 MARINILLA,685,2008
05440 MARINILLA,660,2009
05440 Marinilla,634,2010
05440 Marinilla,575,2011
05440 Marinilla,646,2012
05440 Marinilla,646,2013
05440 Marinilla,675,2014
05440 Marinilla,642,2015
05440 Marinilla,712,2016
05440 Marinilla,765,2017
05467 MONTEBELLO,90,2008
05467 MONTEBELLO,65,2009
05467 Montebello,73,2010
05467 Montebello,60,2011
05467 Montebello,89,2012
05467 Montebello,62,2013
05467 Montebello,62,2014
05467 Montebello,64,2015
05467 Montebello,39,2016
05467 Montebello,47,2017
05475 MURINDÓ,61,2008
05475 MURINDÓ,45,2009
05475 Murindó,51,2010
05475 Murindó,69,2011
05475 Murindó,53,2012
05475 Murindó,62,2013
05475 Murindó,51,2014
05475 Murindó,57,2015
05475 Murindó,58,2016
05475 Murindó,57,2017
05480 MUTATÁ,527,2008
05480 MUTATÁ,421,2009
05480 Mutatá,387,2010
05480 Mutatá,405,2011
05480 Mutatá,480,2012
05480 Mutatá,514,2013
05480 Mutatá,423,2014
05480 Mutatá,465,2015
05480 Mutatá,509,2016
05480 Mutatá,552,2017
05483 NARIÑO,190,2008
05483 NARIÑO,151,2009
05483 Nariño,167,2010
05483 Nariño,156,2011
05483 Nariño,152,2012
05483 Nariño,121,2013
05483 Nariño,113,2014
05483 Nariño,121,2015
05483 Nariño,115,2016
05483 Nariño,126,2017
05490 NECOCLÍ,968,2008
05490 NECOCLÍ,1014,2009
05490 Necoclí,922,2010
05490 Necoclí,952,2011
05490 Necoclí,1005,2012
05490 Necoclí,857,2013
05490 Necoclí,928,2014
05490 Necoclí,902,2015
05490 Necoclí,855,2016
05490 Necoclí,915,2017
05495 NECHÍ,504,2008
05495 NECHÍ,595,2009
05495 Nechí,441,2010
05495 Nechí,490,2011
05495 Nechí,514,2012
05495 Nechí,396,2013
05495 Nechí,482,2014
05495 Nechí,441,2015
05495 Nechí,449,2016
05495 Nechí,451,2017
05501 OLAYA,38,2008
05501 OLAYA,40,2009
05501 Olaya,40,2010
05501 Olaya,27,2011
05501 Olaya,24,2012
05501 Olaya,21,2013
05501 Olaya,28,2014
05501 Olaya,25,2015
05501 Olaya,18,2016
05501 Olaya,30,2017
05541 PEÑOL,247,2008
05541 PEÑOL,227,2009
05541 Peñol,201,2010
05541 Peñol,216,2011
05541 Peñol,228,2012
05541 Peñol,237,2013
05541 Peñol,220,2014
05541 Peñol,206,2015
05541 Peñol,205,2016
05541 Peñol,220,2017
05543 PEQUE,90,2008
05543 PEQUE,98,2009
05543 Peque,93,2010
05543 Peque,125,2011
05543 Peque,112,2012
05543 Peque,97,2013
05543 Peque,90,2014
05543 Peque,97,2015
05543 Peque,109,2016
05543 Peque,122,2017
05576 PUEBLORRICO,131,2008
05576 PUEBLORRICO,105,2009
05576 Pueblorrico,106,2010
05576 Pueblorrico,90,2011
05576 Pueblorrico,101,2012
05576 Pueblorrico,86,2013
05576 Pueblorrico,80,2014
05576 Pueblorrico,110,2015
05576 Pueblorrico,88,2016
05576 Pueblorrico,83,2017
05579 PUERTO BERRÍO,1076,2008
05579 PUERTO BERRÍO,955,2009
05579 Puerto Berrío,800,2010
05579 Puerto Berrío,874,2011
05579 Puerto Berrío,765,2012
05579 Puerto Berrío,589,2013
05579 Puerto Berrío,614,2014
05579 Puerto Berrío,566,2015
05579 Puerto Berrío,561,2016
05579 Puerto Berrío,626,2017
05585 PUERTO NARE,261,2008
05585 PUERTO NARE,191,2009
05585 Puerto Nare,173,2010
05585 Puerto Nare,167,2011
05585 Puerto Nare,122,2012
05585 Puerto Nare,117,2013
05585 Puerto Nare,114,2014
05585 Puerto Nare,94,2015
05585 Puerto Nare,105,2016
05585 Puerto Nare,102,2017
05591 PUERTO TRIUNFO,289,2008
05591 PUERTO TRIUNFO,293,2009
05591 Puerto Triunfo,248,2010
05591 Puerto Triunfo,226,2011
05591 Puerto Triunfo,207,2012
05591 Puerto Triunfo,210,2013
05591 Puerto Triunfo,185,2014
05591 Puerto Triunfo,214,2015
05591 Puerto Triunfo,196,2016
05591 Puerto Triunfo,226,2017
05604 REMEDIOS,420,2008
05604 REMEDIOS,365,2009
05604 Remedios,387,2010
05604 Remedios,433,2011
05604 Remedios,386,2012
05604 Remedios,363,2013
05604 Remedios,403,2014
05604 Remedios,354,2015
05604 Remedios,392,2016
05604 Remedios,405,2017
05607 RETIRO,200,2008
05607 RETIRO,195,2009
05607 Retiro,158,2010
05607 Retiro,172,2011
05607 Retiro,166,2012
05607 Retiro,163,2013
05607 Retiro,144,2014
05607 Retiro,182,2015
05607 Retiro,197,2016
05607 Retiro,184,2017
05615 RIONEGRO,1487,2008
05615 RIONEGRO,1432,2009
05615 Rionegro,1283,2010
05615 Rionegro,1258,2011
05615 Rionegro,1339,2012
05615 Rionegro,1343,2013
05615 Rionegro,1495,2014
05615 Rionegro,1461,2015
05615 Rionegro,1523,2016
05615 Rionegro,1521,2017
05628 SABANALARGA,119,2008
05628 SABANALARGA,165,2009
05628 Sabanalarga,186,2010
05628 Sabanalarga,146,2011
05628 Sabanalarga,142,2012
05628 Sabanalarga,127,2013
05628 Sabanalarga,125,2014
05628 Sabanalarga,94,2015
05628 Sabanalarga,122,2016
05628 Sabanalarga,139,2017
05631 SABANETA,498,2008
05631 SABANETA,460,2009
05631 Sabaneta,447,2010
05631 Sabaneta,453,2011
05631 Sabaneta,464,2012
05631 Sabaneta,524,2013
05631 Sabaneta,621,2014
05631 Sabaneta,706,2015
05631 Sabaneta,727,2016
05631 Sabaneta,837,2017
05642 SALGAR,300,2008
05642 SALGAR,262,2009
05642 Salgar,259,2010
05642 Salgar,258,2011
05642 Salgar,239,2012
05642 Salgar,227,2013
05642 Salgar,201,2014
05642 Salgar,171,2015
05642 Salgar,187,2016
05642 Salgar,181,2017
05647 SAN ANDRÉS DE CUERQUÍA,99,2008
05647 SAN ANDRÉS DE CUERQUÍA,96,2009
05647 San Andrés de Cuerquía,94,2010
05647 San Andrés de Cuerquía,94,2011
05647 San Andrés de Cuerquía,111,2012
05647 San Andrés de Cuerquía,108,2013
05647 San Andrés de Cuerquía,91,2014
05647 San Andrés de Cuerquía,89,2015
05647 San Andrés de Cuerquía,90,2016
05647 San Andrés de Cuerquía,98,2017
05649 SAN CARLOS,197,2008
05649 SAN CARLOS,175,2009
05649 San Carlos,184,2010
05649 San Carlos,183,2011
05649 San Carlos,192,2012
05649 San Carlos,178,2013
05649 San Carlos,190,2014
05649 San Carlos,171,2015
05649 San Carlos,167,2016
05649 San Carlos,145,2017
05652 SAN FRANCISCO,111,2008
05652 SAN FRANCISCO,118,2009
05652 San Francisco,88,2010
05652 San Francisco,77,2011
05652 San Francisco,75,2012
05652 San Francisco,81,2013
05652 San Francisco,104,2014
05652 San Francisco,90,2015
05652 San Francisco,76,2016
05652 San Francisco,81,2017
05656 SAN JERÓNIMO,174,2008
05656 SAN JERÓNIMO,134,2009
05656 San Jerónimo,147,2010
05656 San Jerónimo,127,2011
05656 San Jerónimo,136,2012
05656 San Jerónimo,136,2013
05656 San Jerónimo,142,2014
05656 San Jerónimo,124,2015
05656 San Jerónimo,114,2016
05656 San Jerónimo,140,2017
05658 SAN JOSÉ DE LA MONTAÑA,90,2008
05658 SAN JOSÉ DE LA MONTAÑA,64,2009
05658 San José de La Montaña,63,2010
05658 San José de La Montaña,45,2011
05658 San José de La Montaña,48,2012
05658 San José de La Montaña,52,2013
05658 San José de La Montaña,40,2014
05658 San José de La Montaña,41,2015
05658 San José de La Montaña,42,2016
05658 San José de La Montaña,45,2017
05659 SAN JUAN DE URABÁ,374,2008
05659 SAN JUAN DE URABÁ,395,2009
05659 San Juan de Urabá,394,2010
05659 San Juan de Urabá,515,2011
05659 San Juan de Urabá,471,2012
05659 San Juan de Urabá,362,2013
05659 San Juan de Urabá,452,2014
05659 San Juan de Urabá,421,2015
05659 San Juan de Urabá,419,2016
05659 San Juan de Urabá,410,2017
05660 SAN LUIS,232,2008
05660 SAN LUIS,214,2009
05660 San Luis,189,2010
05660 San Luis,190,2011
05660 San Luis,213,2012
05660 San Luis,214,2013
05660 San Luis,233,2014
05660 San Luis,219,2015
05660 San Luis,181,2016
05660 San Luis,196,2017
