,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
104,15238,2008,1,249,0,1,0.0,0,0,0
105,15322,2008,4,35,0,1,0.0,0,0,0
106,15403,2008,9,3,0,1,0.0,0,0,0
107,15480,2008,10,9,0,1,0.0,0,0,0
108,15516,2008,4,19,0,1,0.0,0,0,0
109,15533,2008,8,1,0,2,0.0,0,0,0
110,15550,2008,1,2,0,1,0.0,0,0,0
111,15550,2008,5,1,0,1,0.0,0,0,0
112,15572,2008,12,66,0,4,0.0,0,0,0
113,15572,2008,2,87,0,1,0.0,0,0,0
114,15572,2008,11,85,0,1,0.0,0,0,0
115,15632,2008,4,0,0,1,0.0,0,0,0
116,15755,2008,4,4,0,1,0.0,0,0,0
117,15755,2008,3,8,0,1,0.0,0,0,0
118,15759,2008,7,268,0,2,0.0,0,0,0
119,15759,2008,5,304,0,2,0.0,0,0,0
120,15759,2008,9,325,0,1,0.0,0,0,0
121,15839,2008,2,0,0,1,0.0,0,0,0
122,17001,2008,4,539,0,1,0.0,0,0,0
123,17001,2008,8,550,0,2,0.0,0,0,0
124,17001,2008,12,474,0,1,0.0,0,0,0
125,17001,2008,1,560,0,1,0.0,0,0,0
126,17001,2008,2,526,0,2,0.0,0,0,0
127,17001,2008,7,489,0,2,0.0,0,0,0
128,17001,2008,3,522,0,1,0.0,0,0,0
129,17001,2008,11,532,0,2,0.0,0,0,0
130,17013,2008,12,16,1,1,1.0,0,0,0
131,17013,2008,9,9,0,1,0.0,0,0,0
132,17042,2008,4,29,0,1,0.0,0,0,0
133,17042,2008,1,24,0,1,0.0,0,0,0
134,17042,2008,3,32,0,1,0.0,0,0,0
135,17042,2008,11,28,0,1,0.0,0,0,0
136,17042,2008,9,29,0,1,0.0,0,0,0
137,17174,2008,2,66,0,1,0.0,0,0,0
138,17174,2008,6,55,0,1,0.0,0,0,0
139,17174,2008,9,70,0,1,0.0,0,0,0
140,17380,2008,8,160,0,1,0.0,0,0,0
141,17380,2008,12,152,0,1,0.0,0,0,0
142,17380,2008,1,174,0,3,0.0,0,0,0
143,17380,2008,2,149,0,1,0.0,0,0,0
144,17380,2008,5,149,0,1,0.0,0,0,0
145,17380,2008,11,162,0,1,0.0,0,0,0
146,17433,2008,4,15,0,2,0.0,0,0,0
147,17433,2008,8,20,0,1,0.0,0,0,0
148,17433,2008,1,22,0,1,0.0,0,0,0
149,17433,2008,3,15,0,1,0.0,0,0,0
150,17433,2008,10,21,0,1,0.0,0,0,0
151,17486,2008,1,9,0,2,0.0,0,0,0
152,17486,2008,5,12,0,1,0.0,0,0,0
153,17495,2008,4,4,0,1,0.0,0,0,0
154,17495,2008,6,9,0,2,0.0,0,0,0
155,17495,2008,3,5,0,1,0.0,0,0,0
156,17541,2008,1,13,2,2,1.0,0,0,1
157,17541,2008,2,13,0,1,0.0,0,0,0
158,17541,2008,3,18,0,1,0.0,0,0,0
159,17541,2008,5,12,0,2,0.0,0,0,0
160,17614,2008,4,59,0,1,0.0,0,0,0
161,17614,2008,8,79,1,1,1.0,0,0,0
162,17614,2008,1,75,0,1,0.0,0,0,0
163,17614,2008,10,67,0,1,0.0,0,0,0
164,17653,2008,2,13,0,1,0.0,0,0,0
165,17653,2008,3,15,0,1,0.0,0,0,0
166,17662,2008,4,15,1,1,1.0,0,0,1
167,17662,2008,8,17,0,1,0.0,0,0,0
168,17662,2008,1,12,1,2,0.5,0,0,0
169,17662,2008,2,23,1,1,1.0,0,0,1
170,17662,2008,6,15,0,1,0.0,0,0,0
171,17662,2008,3,13,3,4,0.75,0,0,0
172,17777,2008,12,13,0,1,0.0,0,0,0
173,17873,2008,10,11,0,1,0.0,0,0,0
174,18001,2008,4,240,0,1,0.0,0,0,0
175,18001,2008,8,473,0,3,0.0,0,0,0
176,18001,2008,12,490,0,4,0.0,0,0,0
177,18001,2008,1,448,1,6,0.1666666666666666,0,0,0
178,18001,2008,2,424,1,4,0.25,0,0,0
179,18001,2008,7,439,1,4,0.25,0,0,0
180,18001,2008,6,453,0,1,0.0,0,0,0
181,18001,2008,3,478,1,4,0.25,0,0,0
182,18001,2008,5,480,1,3,0.3333333333333333,0,0,0
183,18001,2008,11,413,0,3,0.0,0,0,0
184,18001,2008,10,464,1,2,0.5,0,0,0
185,18001,2008,9,427,0,1,0.0,0,0,0
186,18029,2008,4,0,0,1,0.0,0,0,0
187,18029,2008,1,3,0,1,0.0,0,0,0
188,18029,2008,2,3,0,1,0.0,0,0,0
189,18094,2008,7,4,0,1,0.0,0,0,0
190,18094,2008,6,7,0,1,0.0,0,0,0
191,18094,2008,11,5,0,1,0.0,0,0,0
192,18150,2008,4,2,1,2,0.5,0,0,0
193,18150,2008,8,20,0,1,0.0,0,0,0
194,18150,2008,1,17,2,2,1.0,0,0,1
195,18150,2008,2,23,1,2,0.5,0,0,0
196,18150,2008,7,15,1,4,0.25,0,0,0
