,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
124,18753,2008,3,39,0,5,0,0.0
125,18753,2008,3,39,1,4,4,1.0
126,18753,2008,10,34,0,9,0,0.0
127,18753,2008,10,34,1,6,6,1.0
128,18753,2008,9,32,0,6,0,0.0
129,18753,2008,9,32,1,8,8,1.0
130,18756,2008,4,5,0,2,0,0.0
131,18756,2008,4,5,1,1,1,1.0
132,18756,2008,1,2,1,1,1,1.0
133,18785,2008,2,9,1,1,1,1.0
134,18860,2008,2,9,1,2,2,1.0
135,20013,2008,1,80,0,2,0,0.0
136,20013,2008,1,80,1,1,1,1.0
137,20621,2008,1,14,1,2,2,1.0
138,20750,2008,11,5,1,1,1,1.0
139,23466,2008,4,88,1,1,1,1.0
140,23466,2008,8,53,1,1,1,1.0
141,23466,2008,1,43,0,3,0,0.0
142,23466,2008,1,43,1,2,2,1.0
143,23466,2008,2,50,0,3,0,0.0
144,23466,2008,2,50,1,1,1,1.0
145,23466,2008,11,100,1,1,1,1.0
146,23466,2008,10,90,1,1,1,1.0
147,23500,2008,5,14,1,1,1,1.0
148,23580,2008,2,21,0,7,0,0.0
149,23580,2008,2,21,1,2,2,1.0
150,23580,2008,3,14,0,1,0,0.0
151,23580,2008,3,14,1,2,2,1.0
152,23807,2008,8,78,0,1,0,0.0
153,23807,2008,8,78,1,3,3,1.0
154,23807,2008,1,5,0,9,0,0.0
155,23807,2008,1,5,1,3,3,1.0
156,23807,2008,2,52,0,6,0,0.0
157,23807,2008,2,52,1,1,1,1.0
158,23807,2008,7,83,0,5,0,0.0
159,23807,2008,7,83,1,4,4,1.0
160,23807,2008,6,67,0,2,0,0.0
161,23807,2008,6,67,1,1,1,1.0
162,23807,2008,11,80,0,3,0,0.0
163,23807,2008,11,80,1,2,2,1.0
164,23807,2008,10,80,0,5,0,0.0
165,23807,2008,10,80,1,3,3,1.0
166,23807,2008,9,72,0,2,0,0.0
167,23807,2008,9,72,1,1,1,1.0
168,25120,2008,12,2,1,1,1,1.0
169,25120,2008,10,1,1,2,2,1.0
170,25120,2008,9,2,1,1,1,1.0
171,25290,2008,3,183,1,1,1,1.0
172,25386,2008,2,63,1,1,1,1.0
173,25386,2008,6,76,1,1,1,1.0
174,25506,2008,3,3,1,1,1,1.0
175,25815,2008,10,14,1,1,1,1.0
176,25845,2008,7,2,1,1,1,1.0
177,25878,2008,2,9,1,1,1,1.0
178,27001,2008,4,248,0,2,0,0.0
179,27001,2008,4,248,1,4,4,1.0
180,27001,2008,2,229,0,1,0,0.0
181,27001,2008,2,229,1,1,1,1.0
182,27001,2008,7,268,0,2,0,0.0
183,27001,2008,7,268,1,3,3,1.0
184,27001,2008,6,244,0,1,0,0.0
185,27001,2008,6,244,1,1,1,1.0
186,27001,2008,3,249,0,4,0,0.0
187,27001,2008,3,249,1,2,2,1.0
188,27001,2008,9,367,0,2,0,0.0
189,27001,2008,9,367,1,3,3,1.0
190,27050,2008,10,2,1,1,1,1.0
191,27099,2008,8,0,1,1,1,1.0
192,27205,2008,6,13,1,1,1,1.0
