,Region,Municipality,Births,Month,Year
0,05,05001,6478,10,2014
0,05,05001,5735,2,2014
0,05,05001,6333,11,2014
0,05,05001,6063,4,2014
0,05,05001,6611,8,2014
0,05,05001,6409,5,2014
0,05,05001,6793,9,2014
0,05,05001,6393,12,2014
0,05,05001,6176,6,2014
0,05,05001,6345,3,2014
0,05,05001,6423,7,2014
0,05,05001,6148,1,2014
0,05,05002,6478,10,2014
0,05,05002,5735,2,2014
0,05,05002,6333,11,2014
0,05,05002,6063,4,2014
0,05,05002,6611,8,2014
0,05,05002,6409,5,2014
0,05,05002,6793,9,2014
0,05,05002,6393,12,2014
0,05,05002,6176,6,2014
0,05,05002,6345,3,2014
0,05,05002,6423,7,2014
0,05,05002,6148,1,2014
0,05,05021,6478,10,2014
0,05,05021,5735,2,2014
0,05,05021,6333,11,2014
0,05,05021,6063,4,2014
0,05,05021,6611,8,2014
0,05,05021,6409,5,2014
0,05,05021,6793,9,2014
0,05,05021,6393,12,2014
0,05,05021,6176,6,2014
0,05,05021,6345,3,2014
0,05,05021,6423,7,2014
0,05,05021,6148,1,2014
0,05,05030,6478,10,2014
0,05,05030,5735,2,2014
0,05,05030,6333,11,2014
0,05,05030,6063,4,2014
0,05,05030,6611,8,2014
0,05,05030,6409,5,2014
0,05,05030,6793,9,2014
0,05,05030,6393,12,2014
0,05,05030,6176,6,2014
0,05,05030,6345,3,2014
0,05,05030,6423,7,2014
0,05,05030,6148,1,2014
0,05,05031,6478,10,2014
0,05,05031,5735,2,2014
0,05,05031,6333,11,2014
0,05,05031,6063,4,2014
0,05,05031,6611,8,2014
0,05,05031,6409,5,2014
0,05,05031,6793,9,2014
0,05,05031,6393,12,2014
0,05,05031,6176,6,2014
0,05,05031,6345,3,2014
0,05,05031,6423,7,2014
0,05,05031,6148,1,2014
0,05,05034,6478,10,2014
0,05,05034,5735,2,2014
0,05,05034,6333,11,2014
0,05,05034,6063,4,2014
0,05,05034,6611,8,2014
0,05,05034,6409,5,2014
0,05,05034,6793,9,2014
0,05,05034,6393,12,2014
0,05,05034,6176,6,2014
0,05,05034,6345,3,2014
0,05,05034,6423,7,2014
0,05,05034,6148,1,2014
0,05,05036,6478,10,2014
0,05,05036,5735,2,2014
0,05,05036,6333,11,2014
0,05,05036,6063,4,2014
0,05,05036,6611,8,2014
0,05,05036,6409,5,2014
0,05,05036,6793,9,2014
0,05,05036,6393,12,2014
0,05,05036,6176,6,2014
0,05,05036,6345,3,2014
0,05,05036,6423,7,2014
0,05,05036,6148,1,2014
0,05,05038,6478,10,2014
0,05,05038,5735,2,2014
0,05,05038,6333,11,2014
0,05,05038,6063,4,2014
0,05,05038,6611,8,2014
0,05,05038,6409,5,2014
0,05,05038,6793,9,2014
0,05,05038,6393,12,2014
0,05,05038,6176,6,2014
0,05,05038,6345,3,2014
0,05,05038,6423,7,2014
0,05,05038,6148,1,2014
0,05,05040,6478,10,2014
0,05,05040,5735,2,2014
0,05,05040,6333,11,2014
0,05,05040,6063,4,2014
0,05,05040,6611,8,2014
0,05,05040,6409,5,2014
0,05,05040,6793,9,2014
0,05,05040,6393,12,2014
0,05,05040,6176,6,2014
0,05,05040,6345,3,2014
0,05,05040,6423,7,2014
0,05,05040,6148,1,2014
0,05,05042,6478,10,2014
0,05,05042,5735,2,2014
0,05,05042,6333,11,2014
0,05,05042,6063,4,2014
0,05,05042,6611,8,2014
0,05,05042,6409,5,2014
0,05,05042,6793,9,2014
0,05,05042,6393,12,2014
0,05,05042,6176,6,2014
0,05,05042,6345,3,2014
0,05,05042,6423,7,2014
0,05,05042,6148,1,2014
0,05,05044,6478,10,2014
0,05,05044,5735,2,2014
0,05,05044,6333,11,2014
0,05,05044,6063,4,2014
0,05,05044,6611,8,2014
0,05,05044,6409,5,2014
0,05,05044,6793,9,2014
0,05,05044,6393,12,2014
0,05,05044,6176,6,2014
0,05,05044,6345,3,2014
0,05,05044,6423,7,2014
0,05,05044,6148,1,2014
0,05,05045,6478,10,2014
0,05,05045,5735,2,2014
0,05,05045,6333,11,2014
0,05,05045,6063,4,2014
0,05,05045,6611,8,2014
0,05,05045,6409,5,2014
0,05,05045,6793,9,2014
0,05,05045,6393,12,2014
0,05,05045,6176,6,2014
0,05,05045,6345,3,2014
0,05,05045,6423,7,2014
0,05,05045,6148,1,2014
0,05,05051,6478,10,2014
0,05,05051,5735,2,2014
0,05,05051,6333,11,2014
0,05,05051,6063,4,2014
0,05,05051,6611,8,2014
0,05,05051,6409,5,2014
0,05,05051,6793,9,2014
0,05,05051,6393,12,2014
0,05,05051,6176,6,2014
0,05,05051,6345,3,2014
0,05,05051,6423,7,2014
0,05,05051,6148,1,2014
0,05,05055,6478,10,2014
0,05,05055,5735,2,2014
0,05,05055,6333,11,2014
0,05,05055,6063,4,2014
0,05,05055,6611,8,2014
0,05,05055,6409,5,2014
0,05,05055,6793,9,2014
0,05,05055,6393,12,2014
0,05,05055,6176,6,2014
0,05,05055,6345,3,2014
0,05,05055,6423,7,2014
0,05,05055,6148,1,2014
0,05,05059,6478,10,2014
0,05,05059,5735,2,2014
0,05,05059,6333,11,2014
0,05,05059,6063,4,2014
0,05,05059,6611,8,2014
0,05,05059,6409,5,2014
0,05,05059,6793,9,2014
0,05,05059,6393,12,2014
0,05,05059,6176,6,2014
0,05,05059,6345,3,2014
0,05,05059,6423,7,2014
0,05,05059,6148,1,2014
0,05,05079,6478,10,2014
0,05,05079,5735,2,2014
0,05,05079,6333,11,2014
0,05,05079,6063,4,2014
0,05,05079,6611,8,2014
0,05,05079,6409,5,2014
0,05,05079,6793,9,2014
0,05,05079,6393,12,2014
0,05,05079,6176,6,2014
0,05,05079,6345,3,2014
0,05,05079,6423,7,2014
0,05,05079,6148,1,2014
0,05,05086,6478,10,2014
0,05,05086,5735,2,2014
0,05,05086,6333,11,2014
0,05,05086,6063,4,2014
0,05,05086,6611,8,2014
0,05,05086,6409,5,2014
0,05,05086,6793,9,2014
0,05,05086,6393,12,2014
0,05,05086,6176,6,2014
0,05,05086,6345,3,2014
0,05,05086,6423,7,2014
0,05,05086,6148,1,2014
0,05,05088,6478,10,2014
0,05,05088,5735,2,2014
0,05,05088,6333,11,2014
0,05,05088,6063,4,2014
0,05,05088,6611,8,2014
0,05,05088,6409,5,2014
0,05,05088,6793,9,2014
0,05,05088,6393,12,2014
0,05,05088,6176,6,2014
0,05,05088,6345,3,2014
0,05,05088,6423,7,2014
0,05,05088,6148,1,2014
0,05,05091,6478,10,2014
0,05,05091,5735,2,2014
0,05,05091,6333,11,2014
0,05,05091,6063,4,2014
0,05,05091,6611,8,2014
0,05,05091,6409,5,2014
0,05,05091,6793,9,2014
0,05,05091,6393,12,2014
0,05,05091,6176,6,2014
0,05,05091,6345,3,2014
0,05,05091,6423,7,2014
0,05,05091,6148,1,2014
0,05,05093,6478,10,2014
0,05,05093,5735,2,2014
0,05,05093,6333,11,2014
0,05,05093,6063,4,2014
0,05,05093,6611,8,2014
0,05,05093,6409,5,2014
0,05,05093,6793,9,2014
0,05,05093,6393,12,2014
0,05,05093,6176,6,2014
0,05,05093,6345,3,2014
0,05,05093,6423,7,2014
0,05,05093,6148,1,2014
0,05,05101,6478,10,2014
0,05,05101,5735,2,2014
0,05,05101,6333,11,2014
0,05,05101,6063,4,2014
0,05,05101,6611,8,2014
0,05,05101,6409,5,2014
0,05,05101,6793,9,2014
0,05,05101,6393,12,2014
0,05,05101,6176,6,2014
0,05,05101,6345,3,2014
0,05,05101,6423,7,2014
0,05,05101,6148,1,2014
0,05,05107,6478,10,2014
0,05,05107,5735,2,2014
0,05,05107,6333,11,2014
0,05,05107,6063,4,2014
0,05,05107,6611,8,2014
0,05,05107,6409,5,2014
0,05,05107,6793,9,2014
0,05,05107,6393,12,2014
0,05,05107,6176,6,2014
0,05,05107,6345,3,2014
0,05,05107,6423,7,2014
0,05,05107,6148,1,2014
0,05,05113,6478,10,2014
0,05,05113,5735,2,2014
0,05,05113,6333,11,2014
0,05,05113,6063,4,2014
0,05,05113,6611,8,2014
0,05,05113,6409,5,2014
0,05,05113,6793,9,2014
0,05,05113,6393,12,2014
0,05,05113,6176,6,2014
0,05,05113,6345,3,2014
0,05,05113,6423,7,2014
0,05,05113,6148,1,2014
0,05,05120,6478,10,2014
0,05,05120,5735,2,2014
0,05,05120,6333,11,2014
0,05,05120,6063,4,2014
0,05,05120,6611,8,2014
0,05,05120,6409,5,2014
0,05,05120,6793,9,2014
0,05,05120,6393,12,2014
0,05,05120,6176,6,2014
0,05,05120,6345,3,2014
0,05,05120,6423,7,2014
0,05,05120,6148,1,2014
0,05,05125,6478,10,2014
0,05,05125,5735,2,2014
0,05,05125,6333,11,2014
0,05,05125,6063,4,2014
0,05,05125,6611,8,2014
0,05,05125,6409,5,2014
0,05,05125,6793,9,2014
0,05,05125,6393,12,2014
0,05,05125,6176,6,2014
0,05,05125,6345,3,2014
0,05,05125,6423,7,2014
0,05,05125,6148,1,2014
0,05,05129,6478,10,2014
0,05,05129,5735,2,2014
0,05,05129,6333,11,2014
0,05,05129,6063,4,2014
0,05,05129,6611,8,2014
0,05,05129,6409,5,2014
0,05,05129,6793,9,2014
0,05,05129,6393,12,2014
0,05,05129,6176,6,2014
0,05,05129,6345,3,2014
0,05,05129,6423,7,2014
0,05,05129,6148,1,2014
0,05,05134,6478,10,2014
0,05,05134,5735,2,2014
0,05,05134,6333,11,2014
0,05,05134,6063,4,2014
0,05,05134,6611,8,2014
0,05,05134,6409,5,2014
0,05,05134,6793,9,2014
0,05,05134,6393,12,2014
0,05,05134,6176,6,2014
0,05,05134,6345,3,2014
0,05,05134,6423,7,2014
0,05,05134,6148,1,2014
0,05,05138,6478,10,2014
0,05,05138,5735,2,2014
0,05,05138,6333,11,2014
0,05,05138,6063,4,2014
0,05,05138,6611,8,2014
0,05,05138,6409,5,2014
0,05,05138,6793,9,2014
0,05,05138,6393,12,2014
0,05,05138,6176,6,2014
0,05,05138,6345,3,2014
0,05,05138,6423,7,2014
0,05,05138,6148,1,2014
0,05,05142,6478,10,2014
0,05,05142,5735,2,2014
0,05,05142,6333,11,2014
0,05,05142,6063,4,2014
0,05,05142,6611,8,2014
0,05,05142,6409,5,2014
0,05,05142,6793,9,2014
0,05,05142,6393,12,2014
0,05,05142,6176,6,2014
0,05,05142,6345,3,2014
0,05,05142,6423,7,2014
0,05,05142,6148,1,2014
0,05,05145,6478,10,2014
0,05,05145,5735,2,2014
0,05,05145,6333,11,2014
0,05,05145,6063,4,2014
0,05,05145,6611,8,2014
0,05,05145,6409,5,2014
0,05,05145,6793,9,2014
0,05,05145,6393,12,2014
0,05,05145,6176,6,2014
0,05,05145,6345,3,2014
0,05,05145,6423,7,2014
0,05,05145,6148,1,2014
0,05,05147,6478,10,2014
0,05,05147,5735,2,2014
0,05,05147,6333,11,2014
0,05,05147,6063,4,2014
0,05,05147,6611,8,2014
0,05,05147,6409,5,2014
0,05,05147,6793,9,2014
0,05,05147,6393,12,2014
0,05,05147,6176,6,2014
0,05,05147,6345,3,2014
0,05,05147,6423,7,2014
0,05,05147,6148,1,2014
0,05,05148,6478,10,2014
0,05,05148,5735,2,2014
0,05,05148,6333,11,2014
0,05,05148,6063,4,2014
0,05,05148,6611,8,2014
0,05,05148,6409,5,2014
0,05,05148,6793,9,2014
0,05,05148,6393,12,2014
0,05,05148,6176,6,2014
0,05,05148,6345,3,2014
0,05,05148,6423,7,2014
0,05,05148,6148,1,2014
0,05,05150,6478,10,2014
0,05,05150,5735,2,2014
0,05,05150,6333,11,2014
0,05,05150,6063,4,2014
0,05,05150,6611,8,2014
0,05,05150,6409,5,2014
0,05,05150,6793,9,2014
0,05,05150,6393,12,2014
0,05,05150,6176,6,2014
0,05,05150,6345,3,2014
0,05,05150,6423,7,2014
0,05,05150,6148,1,2014
0,05,05154,6478,10,2014
0,05,05154,5735,2,2014
0,05,05154,6333,11,2014
0,05,05154,6063,4,2014
0,05,05154,6611,8,2014
0,05,05154,6409,5,2014
0,05,05154,6793,9,2014
0,05,05154,6393,12,2014
0,05,05154,6176,6,2014
0,05,05154,6345,3,2014
0,05,05154,6423,7,2014
0,05,05154,6148,1,2014
0,05,05172,6478,10,2014
0,05,05172,5735,2,2014
0,05,05172,6333,11,2014
0,05,05172,6063,4,2014
0,05,05172,6611,8,2014
0,05,05172,6409,5,2014
0,05,05172,6793,9,2014
0,05,05172,6393,12,2014
0,05,05172,6176,6,2014
0,05,05172,6345,3,2014
0,05,05172,6423,7,2014
0,05,05172,6148,1,2014
0,05,05190,6478,10,2014
0,05,05190,5735,2,2014
0,05,05190,6333,11,2014
0,05,05190,6063,4,2014
0,05,05190,6611,8,2014
0,05,05190,6409,5,2014
0,05,05190,6793,9,2014
0,05,05190,6393,12,2014
0,05,05190,6176,6,2014
0,05,05190,6345,3,2014
0,05,05190,6423,7,2014
0,05,05190,6148,1,2014
0,05,05197,6478,10,2014
0,05,05197,5735,2,2014
0,05,05197,6333,11,2014
0,05,05197,6063,4,2014
0,05,05197,6611,8,2014
0,05,05197,6409,5,2014
0,05,05197,6793,9,2014
0,05,05197,6393,12,2014
0,05,05197,6176,6,2014
0,05,05197,6345,3,2014
0,05,05197,6423,7,2014
0,05,05197,6148,1,2014
0,05,05206,6478,10,2014
0,05,05206,5735,2,2014
0,05,05206,6333,11,2014
0,05,05206,6063,4,2014
0,05,05206,6611,8,2014
0,05,05206,6409,5,2014
0,05,05206,6793,9,2014
0,05,05206,6393,12,2014
0,05,05206,6176,6,2014
0,05,05206,6345,3,2014
0,05,05206,6423,7,2014
0,05,05206,6148,1,2014
0,05,05209,6478,10,2014
0,05,05209,5735,2,2014
0,05,05209,6333,11,2014
0,05,05209,6063,4,2014
0,05,05209,6611,8,2014
0,05,05209,6409,5,2014
0,05,05209,6793,9,2014
0,05,05209,6393,12,2014
0,05,05209,6176,6,2014
0,05,05209,6345,3,2014
0,05,05209,6423,7,2014
0,05,05209,6148,1,2014
0,05,05212,6478,10,2014
0,05,05212,5735,2,2014
0,05,05212,6333,11,2014
0,05,05212,6063,4,2014
0,05,05212,6611,8,2014
0,05,05212,6409,5,2014
0,05,05212,6793,9,2014
0,05,05212,6393,12,2014
0,05,05212,6176,6,2014
0,05,05212,6345,3,2014
0,05,05212,6423,7,2014
0,05,05212,6148,1,2014
0,05,05234,6478,10,2014
0,05,05234,5735,2,2014
0,05,05234,6333,11,2014
0,05,05234,6063,4,2014
0,05,05234,6611,8,2014
0,05,05234,6409,5,2014
0,05,05234,6793,9,2014
0,05,05234,6393,12,2014
0,05,05234,6176,6,2014
0,05,05234,6345,3,2014
0,05,05234,6423,7,2014
0,05,05234,6148,1,2014
0,05,05237,6478,10,2014
0,05,05237,5735,2,2014
0,05,05237,6333,11,2014
0,05,05237,6063,4,2014
0,05,05237,6611,8,2014
0,05,05237,6409,5,2014
0,05,05237,6793,9,2014
0,05,05237,6393,12,2014
0,05,05237,6176,6,2014
0,05,05237,6345,3,2014
0,05,05237,6423,7,2014
0,05,05237,6148,1,2014
0,05,05240,6478,10,2014
0,05,05240,5735,2,2014
0,05,05240,6333,11,2014
0,05,05240,6063,4,2014
0,05,05240,6611,8,2014
0,05,05240,6409,5,2014
0,05,05240,6793,9,2014
0,05,05240,6393,12,2014
0,05,05240,6176,6,2014
0,05,05240,6345,3,2014
0,05,05240,6423,7,2014
0,05,05240,6148,1,2014
0,05,05250,6478,10,2014
0,05,05250,5735,2,2014
0,05,05250,6333,11,2014
0,05,05250,6063,4,2014
0,05,05250,6611,8,2014
0,05,05250,6409,5,2014
0,05,05250,6793,9,2014
0,05,05250,6393,12,2014
0,05,05250,6176,6,2014
0,05,05250,6345,3,2014
0,05,05250,6423,7,2014
0,05,05250,6148,1,2014
0,05,05264,6478,10,2014
0,05,05264,5735,2,2014
0,05,05264,6333,11,2014
0,05,05264,6063,4,2014
0,05,05264,6611,8,2014
0,05,05264,6409,5,2014
0,05,05264,6793,9,2014
0,05,05264,6393,12,2014
0,05,05264,6176,6,2014
0,05,05264,6345,3,2014
0,05,05264,6423,7,2014
0,05,05264,6148,1,2014
0,05,05266,6478,10,2014
0,05,05266,5735,2,2014
0,05,05266,6333,11,2014
0,05,05266,6063,4,2014
0,05,05266,6611,8,2014
0,05,05266,6409,5,2014
0,05,05266,6793,9,2014
0,05,05266,6393,12,2014
0,05,05266,6176,6,2014
0,05,05266,6345,3,2014
0,05,05266,6423,7,2014
0,05,05266,6148,1,2014
0,05,05282,6478,10,2014
0,05,05282,5735,2,2014
0,05,05282,6333,11,2014
0,05,05282,6063,4,2014
0,05,05282,6611,8,2014
0,05,05282,6409,5,2014
0,05,05282,6793,9,2014
0,05,05282,6393,12,2014
0,05,05282,6176,6,2014
0,05,05282,6345,3,2014
0,05,05282,6423,7,2014
0,05,05282,6148,1,2014
0,05,05284,6478,10,2014
0,05,05284,5735,2,2014
0,05,05284,6333,11,2014
0,05,05284,6063,4,2014
0,05,05284,6611,8,2014
0,05,05284,6409,5,2014
0,05,05284,6793,9,2014
0,05,05284,6393,12,2014
0,05,05284,6176,6,2014
0,05,05284,6345,3,2014
0,05,05284,6423,7,2014
0,05,05284,6148,1,2014
0,05,05306,6478,10,2014
0,05,05306,5735,2,2014
0,05,05306,6333,11,2014
0,05,05306,6063,4,2014
0,05,05306,6611,8,2014
0,05,05306,6409,5,2014
0,05,05306,6793,9,2014
0,05,05306,6393,12,2014
0,05,05306,6176,6,2014
0,05,05306,6345,3,2014
