,Region,Municipality,Births,Month,Year
0,05,05266,6619,9,2013
0,05,05266,6363,1,2013
0,05,05266,5670,2,2013
0,05,05266,6179,3,2013
0,05,05266,6115,4,2013
0,05,05266,6135,5,2013
0,05,05266,5873,6,2013
0,05,05266,6092,7,2013
0,05,05266,6390,8,2013
0,05,05266,6331,10,2013
0,05,05266,6118,11,2013
0,05,05266,6319,12,2013
0,05,05154,6619,9,2013
0,05,05154,6363,1,2013
0,05,05154,5670,2,2013
0,05,05154,6179,3,2013
0,05,05154,6115,4,2013
0,05,05154,6135,5,2013
0,05,05154,5873,6,2013
0,05,05154,6092,7,2013
0,05,05154,6390,8,2013
0,05,05154,6331,10,2013
0,05,05154,6118,11,2013
0,05,05154,6319,12,2013
0,05,05237,6619,9,2013
0,05,05237,6363,1,2013
0,05,05237,5670,2,2013
0,05,05237,6179,3,2013
0,05,05237,6115,4,2013
0,05,05237,6135,5,2013
0,05,05237,5873,6,2013
0,05,05237,6092,7,2013
0,05,05237,6390,8,2013
0,05,05237,6331,10,2013
0,05,05237,6118,11,2013
0,05,05237,6319,12,2013
0,05,05001,6619,9,2013
0,05,05001,6363,1,2013
0,05,05001,5670,2,2013
0,05,05001,6179,3,2013
0,05,05001,6115,4,2013
0,05,05001,6135,5,2013
0,05,05001,5873,6,2013
0,05,05001,6092,7,2013
0,05,05001,6390,8,2013
0,05,05001,6331,10,2013
0,05,05001,6118,11,2013
0,05,05001,6319,12,2013
0,05,05040,6619,9,2013
0,05,05040,6363,1,2013
0,05,05040,5670,2,2013
0,05,05040,6179,3,2013
0,05,05040,6115,4,2013
0,05,05040,6135,5,2013
0,05,05040,5873,6,2013
0,05,05040,6092,7,2013
0,05,05040,6390,8,2013
0,05,05040,6331,10,2013
0,05,05040,6118,11,2013
0,05,05040,6319,12,2013
0,05,05837,6619,9,2013
0,05,05837,6363,1,2013
0,05,05837,5670,2,2013
0,05,05837,6179,3,2013
0,05,05837,6115,4,2013
0,05,05837,6135,5,2013
0,05,05837,5873,6,2013
0,05,05837,6092,7,2013
0,05,05837,6390,8,2013
0,05,05837,6331,10,2013
0,05,05837,6118,11,2013
0,05,05837,6319,12,2013
0,05,05615,6619,9,2013
0,05,05615,6363,1,2013
0,05,05615,5670,2,2013
0,05,05615,6179,3,2013
0,05,05615,6115,4,2013
0,05,05615,6135,5,2013
0,05,05615,5873,6,2013
0,05,05615,6092,7,2013
0,05,05615,6390,8,2013
0,05,05615,6331,10,2013
0,05,05615,6118,11,2013
0,05,05615,6319,12,2013
0,05,05172,6619,9,2013
0,05,05172,6363,1,2013
0,05,05172,5670,2,2013
0,05,05172,6179,3,2013
0,05,05172,6115,4,2013
0,05,05172,6135,5,2013
0,05,05172,5873,6,2013
0,05,05172,6092,7,2013
0,05,05172,6390,8,2013
0,05,05172,6331,10,2013
0,05,05172,6118,11,2013
0,05,05172,6319,12,2013
0,05,05045,6619,9,2013
0,05,05045,6363,1,2013
0,05,05045,5670,2,2013
0,05,05045,6179,3,2013
0,05,05045,6115,4,2013
0,05,05045,6135,5,2013
