,Region,Municipality,Births,Month,Year
0,25,25269,2042,2,2010
0,25,25269,2151,1,2010
0,25,25269,2219,9,2010
0,25,25269,2096,7,2010
0,25,25269,2192,3,2010
0,25,25269,2042,4,2010
0,25,25269,2114,5,2010
0,25,25269,2015,6,2010
0,25,25269,2095,10,2010
0,25,25269,2161,8,2010
0,25,25269,1931,11,2010
0,25,25269,1916,12,2010
0,25,25053,2042,2,2010
0,25,25053,2151,1,2010
0,25,25053,2219,9,2010
0,25,25053,2096,7,2010
0,25,25053,2192,3,2010
0,25,25053,2042,4,2010
0,25,25053,2114,5,2010
0,25,25053,2015,6,2010
0,25,25053,2095,10,2010
0,25,25053,2161,8,2010
0,25,25053,1931,11,2010
0,25,25053,1916,12,2010
0,25,25899,2042,2,2010
0,25,25899,2151,1,2010
0,25,25899,2219,9,2010
0,25,25899,2096,7,2010
0,25,25899,2192,3,2010
0,25,25899,2042,4,2010
0,25,25899,2114,5,2010
0,25,25899,2015,6,2010
0,25,25899,2095,10,2010
0,25,25899,2161,8,2010
0,25,25899,1931,11,2010
0,25,25899,1916,12,2010
0,25,25307,2042,2,2010
0,25,25307,2151,1,2010
0,25,25307,2219,9,2010
0,25,25307,2096,7,2010
0,25,25307,2192,3,2010
0,25,25307,2042,4,2010
0,25,25307,2114,5,2010
0,25,25307,2015,6,2010
0,25,25307,2095,10,2010
0,25,25307,2161,8,2010
0,25,25307,1931,11,2010
0,25,25307,1916,12,2010
0,25,25754,2042,2,2010
0,25,25754,2151,1,2010
0,25,25754,2219,9,2010
0,25,25754,2096,7,2010
0,25,25754,2192,3,2010
0,25,25754,2042,4,2010
0,25,25754,2114,5,2010
0,25,25754,2015,6,2010
0,25,25754,2095,10,2010
0,25,25754,2161,8,2010
0,25,25754,1931,11,2010
0,25,25754,1916,12,2010
0,25,25175,2042,2,2010
0,25,25175,2151,1,2010
0,25,25175,2219,9,2010
0,25,25175,2096,7,2010
0,25,25175,2192,3,2010
0,25,25175,2042,4,2010
0,25,25175,2114,5,2010
0,25,25175,2015,6,2010
0,25,25175,2095,10,2010
0,25,25175,2161,8,2010
0,25,25175,1931,11,2010
0,25,25175,1916,12,2010
0,25,25290,2042,2,2010
0,25,25290,2151,1,2010
0,25,25290,2219,9,2010
0,25,25290,2096,7,2010
0,25,25290,2192,3,2010
0,25,25290,2042,4,2010
0,25,25290,2114,5,2010
0,25,25290,2015,6,2010
0,25,25290,2095,10,2010
0,25,25290,2161,8,2010
0,25,25290,1931,11,2010
0,25,25290,1916,12,2010
0,25,25823,2042,2,2010
0,25,25823,2151,1,2010
0,25,25823,2219,9,2010
0,25,25823,2096,7,2010
0,25,25823,2192,3,2010
0,25,25823,2042,4,2010
