,Region,Municipality,Births,Month,Year
0,76,76001,4161,1,2017
0,76,76001,4515,3,2017
0,76,76001,3966,2,2017
0,76,76001,4532,5,2017
0,76,76001,4434,4,2017
0,76,76001,4620,7,2017
0,76,76001,4448,6,2017
0,76,76001,4782,9,2017
0,76,76001,4657,8,2017
0,76,76001,4588,10,2017
0,76,76001,4206,11,2017
0,76,76001,4413,12,2017
0,76,76834,4161,1,2017
0,76,76834,4515,3,2017
0,76,76834,3966,2,2017
0,76,76834,4532,5,2017
0,76,76834,4434,4,2017
0,76,76834,4620,7,2017
0,76,76834,4448,6,2017
0,76,76834,4782,9,2017
0,76,76834,4657,8,2017
0,76,76834,4588,10,2017
0,76,76834,4206,11,2017
0,76,76834,4413,12,2017
0,76,76520,4161,1,2017
0,76,76520,4515,3,2017
0,76,76520,3966,2,2017
0,76,76520,4532,5,2017
0,76,76520,4434,4,2017
0,76,76520,4620,7,2017
0,76,76520,4448,6,2017
0,76,76520,4782,9,2017
0,76,76520,4657,8,2017
0,76,76520,4588,10,2017
0,76,76520,4206,11,2017
0,76,76520,4413,12,2017
0,76,76111,4161,1,2017
0,76,76111,4515,3,2017
0,76,76111,3966,2,2017
0,76,76111,4532,5,2017
0,76,76111,4434,4,2017
0,76,76111,4620,7,2017
0,76,76111,4448,6,2017
0,76,76111,4782,9,2017
0,76,76111,4657,8,2017
0,76,76111,4588,10,2017
0,76,76111,4206,11,2017
0,76,76111,4413,12,2017
0,76,76109,4161,1,2017
0,76,76109,4515,3,2017
0,76,76109,3966,2,2017
0,76,76109,4532,5,2017
0,76,76109,4434,4,2017
0,76,76109,4620,7,2017
0,76,76109,4448,6,2017
0,76,76109,4782,9,2017
0,76,76109,4657,8,2017
0,76,76109,4588,10,2017
0,76,76109,4206,11,2017
0,76,76109,4413,12,2017
0,76,76147,4161,1,2017
0,76,76147,4515,3,2017
0,76,76147,3966,2,2017
0,76,76147,4532,5,2017
0,76,76147,4434,4,2017
0,76,76147,4620,7,2017
0,76,76147,4448,6,2017
0,76,76147,4782,9,2017
0,76,76147,4657,8,2017
0,76,76147,4588,10,2017
0,76,76147,4206,11,2017
0,76,76147,4413,12,2017
0,76,76736,4161,1,2017
0,76,76736,4515,3,2017
0,76,76736,3966,2,2017
0,76,76736,4532,5,2017
0,76,76736,4434,4,2017
0,76,76736,4620,7,2017
0,76,76736,4448,6,2017
0,76,76736,4782,9,2017
0,76,76736,4657,8,2017
0,76,76736,4588,10,2017
0,76,76736,4206,11,2017
0,76,76736,4413,12,2017
0,76,76122,4161,1,2017
0,76,76122,4515,3,2017
0,76,76122,3966,2,2017
0,76,76122,4532,5,2017
0,76,76122,4434,4,2017
0,76,76122,4620,7,2017
0,76,76122,4448,6,2017
0,76,76122,4782,9,2017
0,76,76122,4657,8,2017
0,76,76122,4588,10,2017
0,76,76122,4206,11,2017
0,76,76122,4413,12,2017
0,76,76895,4161,1,2017
0,76,76895,4515,3,2017
0,76,76895,3966,2,2017
0,76,76895,4532,5,2017
0,76,76895,4434,4,2017
0,76,76895,4620,7,2017
0,76,76895,4448,6,2017
0,76,76895,4782,9,2017
0,76,76895,4657,8,2017
0,76,76895,4588,10,2017
0,76,76895,4206,11,2017
0,76,76895,4413,12,2017
0,76,76275,4161,1,2017
0,76,76275,4515,3,2017
0,76,76275,3966,2,2017
0,76,76275,4532,5,2017
0,76,76275,4434,4,2017
0,76,76275,4620,7,2017
0,76,76275,4448,6,2017
0,76,76275,4782,9,2017
0,76,76275,4657,8,2017
0,76,76275,4588,10,2017
0,76,76275,4206,11,2017
0,76,76275,4413,12,2017
0,76,76020,4161,1,2017
0,76,76020,4515,3,2017
0,76,76020,3966,2,2017
0,76,76020,4532,5,2017
0,76,76020,4434,4,2017
0,76,76020,4620,7,2017
0,76,76020,4448,6,2017
0,76,76020,4782,9,2017
0,76,76020,4657,8,2017
0,76,76020,4588,10,2017
0,76,76020,4206,11,2017
0,76,76020,4413,12,2017
0,76,76622,4161,1,2017
0,76,76622,4515,3,2017
0,76,76622,3966,2,2017
0,76,76622,4532,5,2017
0,76,76622,4434,4,2017
0,76,76622,4620,7,2017
0,76,76622,4448,6,2017
0,76,76622,4782,9,2017
0,76,76622,4657,8,2017
0,76,76622,4588,10,2017
0,76,76622,4206,11,2017
0,76,76622,4413,12,2017
0,76,76364,4161,1,2017
0,76,76364,4515,3,2017
0,76,76364,3966,2,2017
0,76,76364,4532,5,2017
0,76,76364,4434,4,2017
0,76,76364,4620,7,2017
