,Region,Municipality,Births,Month,Year
0,11,11001,10921,7,2008
0,11,11001,10879,8,2008
0,11,11001,10471,6,2008
0,11,11001,11613,9,2008
0,11,11001,10619,1,2008
0,11,11001,10935,10,2008
0,11,11001,10856,12,2008
0,11,11001,10546,11,2008
0,11,11001,9951,2,2008
0,11,11001,10698,3,2008
0,11,11001,10535,4,2008
0,11,11001,11023,5,2008
0,25,25269,2131,11,2008
0,25,25269,2009,12,2008
0,25,25269,2112,4,2008
0,25,25269,2246,9,2008
0,25,25269,2468,10,2008
0,25,25269,2262,8,2008
0,25,25269,2351,1,2008
0,25,25269,2138,2,2008
0,25,25269,2411,3,2008
0,25,25269,2297,5,2008
0,25,25269,2230,6,2008
0,25,25269,2291,7,2008
0,25,25307,2131,11,2008
0,25,25307,2009,12,2008
0,25,25307,2112,4,2008
0,25,25307,2246,9,2008
0,25,25307,2468,10,2008
0,25,25307,2262,8,2008
0,25,25307,2351,1,2008
0,25,25307,2138,2,2008
0,25,25307,2411,3,2008
0,25,25307,2297,5,2008
0,25,25307,2230,6,2008
0,25,25307,2291,7,2008
0,25,25754,2131,11,2008
0,25,25754,2009,12,2008
0,25,25754,2112,4,2008
0,25,25754,2246,9,2008
0,25,25754,2468,10,2008
0,25,25754,2262,8,2008
0,25,25754,2351,1,2008
0,25,25754,2138,2,2008
0,25,25754,2411,3,2008
0,25,25754,2297,5,2008
0,25,25754,2230,6,2008
0,25,25754,2291,7,2008
0,25,25899,2131,11,2008
0,25,25899,2009,12,2008
0,25,25899,2112,4,2008
0,25,25899,2246,9,2008
0,25,25899,2468,10,2008
0,25,25899,2262,8,2008
0,25,25899,2351,1,2008
0,25,25899,2138,2,2008
0,25,25899,2411,3,2008
0,25,25899,2297,5,2008
0,25,25899,2230,6,2008
0,25,25899,2291,7,2008
0,25,25290,2131,11,2008
0,25,25290,2009,12,2008
0,25,25290,2112,4,2008
0,25,25290,2246,9,2008
0,25,25290,2468,10,2008
0,25,25290,2262,8,2008
0,25,25290,2351,1,2008
0,25,25290,2138,2,2008
0,25,25290,2411,3,2008
0,25,25290,2297,5,2008
0,25,25290,2230,6,2008
0,25,25290,2291,7,2008
0,25,25878,2131,11,2008
