,Region,Municipality,Births,Month,Year
0,11,11001,10899,8,2009
0,11,11001,10467,1,2009
0,11,11001,9678,2,2009
0,11,11001,10794,3,2009
0,11,11001,10316,4,2009
0,11,11001,10493,5,2009
0,11,11001,10428,6,2009
0,11,11001,10869,7,2009
0,11,11001,10623,10,2009
0,11,11001,11504,9,2009
0,11,11001,10207,11,2009
0,11,11001,10581,12,2009
0,25,25899,2421,9,2009
0,25,25899,2121,11,2009
0,25,25899,2234,12,2009
0,25,25899,1988,2,2009
0,25,25899,2199,3,2009
0,25,25899,2090,4,2009
0,25,25899,2100,5,2009
0,25,25899,2107,6,2009
0,25,25899,2082,1,2009
0,25,25899,2221,7,2009
0,25,25899,2252,8,2009
0,25,25899,2152,10,2009
0,25,25754,2421,9,2009
0,25,25754,2121,11,2009
0,25,25754,2234,12,2009
0,25,25754,1988,2,2009
0,25,25754,2199,3,2009
0,25,25754,2090,4,2009
0,25,25754,2100,5,2009
0,25,25754,2107,6,2009
0,25,25754,2082,1,2009
0,25,25754,2221,7,2009
0,25,25754,2252,8,2009
0,25,25754,2152,10,2009
0,25,25307,2421,9,2009
0,25,25307,2121,11,2009
0,25,25307,2234,12,2009
0,25,25307,1988,2,2009
0,25,25307,2199,3,2009
0,25,25307,2090,4,2009
0,25,25307,2100,5,2009
0,25,25307,2107,6,2009
0,25,25307,2082,1,2009
0,25,25307,2221,7,2009
0,25,25307,2252,8,2009
0,25,25307,2152,10,2009
0,25,25269,2421,9,2009
0,25,25269,2121,11,2009
0,25,25269,2234,12,2009
0,25,25269,1988,2,2009
0,25,25269,2199,3,2009
0,25,25269,2090,4,2009
0,25,25269,2100,5,2009
0,25,25269,2107,6,2009
0,25,25269,2082,1,2009
0,25,25269,2221,7,2009
0,25,25269,2252,8,2009
0,25,25269,2152,10,2009
0,25,25183,2421,9,2009
0,25,25183,2121,11,2009
0,25,25183,2234,12,2009
0,25,25183,1988,2,2009
0,25,25183,2199,3,2009
0,25,25183,2090,4,2009
0,25,25183,2100,5,2009
0,25,25183,2107,6,2009
0,25,25183,2082,1,2009
0,25,25183,2221,7,2009
0,25,25183,2252,8,2009
0,25,25183,2152,10,2009
0,25,25148,2421,9,2009
0,25,25148,2121,11,2009
0,25,25148,2234,12,2009
0,25,25148,1988,2,2009
0,25,25148,2199,3,2009
0,25,25148,2090,4,2009
0,25,25148,2100,5,2009
0,25,25148,2107,6,2009
0,25,25148,2082,1,2009
0,25,25148,2221,7,2009
0,25,25148,2252,8,2009
0,25,25148,2152,10,2009
0,25,25320,2421,9,2009
0,25,25320,2121,11,2009
0,25,25320,2234,12,2009
0,25,25320,1988,2,2009
0,25,25320,2199,3,2009
0,25,25320,2090,4,2009
0,25,25320,2100,5,2009
0,25,25320,2107,6,2009
0,25,25320,2082,1,2009
0,25,25320,2221,7,2009
0,25,25320,2252,8,2009
0,25,25320,2152,10,2009
0,25,25279,2421,9,2009
0,25,25279,2121,11,2009
0,25,25279,2234,12,2009
0,25,25279,1988,2,2009
0,25,25279,2199,3,2009
0,25,25279,2090,4,2009
0,25,25279,2100,5,2009
0,25,25279,2107,6,2009
0,25,25279,2082,1,2009
0,25,25279,2221,7,2009
0,25,25279,2252,8,2009
0,25,25279,2152,10,2009
0,25,25394,2421,9,2009
0,25,25394,2121,11,2009
0,25,25394,2234,12,2009
0,25,25394,1988,2,2009
0,25,25394,2199,3,2009
0,25,25394,2090,4,2009
0,25,25394,2100,5,2009
0,25,25394,2107,6,2009
