,Region,Municipality,Births,Month,Year
0,76,76001,4410,1,2011
0,76,76001,4903,3,2011
0,76,76001,4038,2,2011
0,76,76001,4643,4,2011
0,76,76001,5308,9,2011
0,76,76001,4948,12,2011
0,76,76001,4876,5,2011
0,76,76001,4683,6,2011
0,76,76001,4571,11,2011
0,76,76001,5146,8,2011
0,76,76001,4819,10,2011
0,76,76001,4967,7,2011
0,76,76250,4410,1,2011
0,76,76250,4903,3,2011
0,76,76250,4038,2,2011
0,76,76250,4643,4,2011
0,76,76250,5308,9,2011
0,76,76250,4948,12,2011
0,76,76250,4876,5,2011
0,76,76250,4683,6,2011
0,76,76250,4571,11,2011
0,76,76250,5146,8,2011
0,76,76250,4819,10,2011
0,76,76250,4967,7,2011
0,76,76233,4410,1,2011
0,76,76233,4903,3,2011
0,76,76233,4038,2,2011
0,76,76233,4643,4,2011
0,76,76233,5308,9,2011
0,76,76233,4948,12,2011
0,76,76233,4876,5,2011
0,76,76233,4683,6,2011
0,76,76233,4571,11,2011
0,76,76233,5146,8,2011
0,76,76233,4819,10,2011
0,76,76233,4967,7,2011
0,76,76563,4410,1,2011
0,76,76563,4903,3,2011
0,76,76563,4038,2,2011
0,76,76563,4643,4,2011
0,76,76563,5308,9,2011
0,76,76563,4948,12,2011
0,76,76563,4876,5,2011
0,76,76563,4683,6,2011
0,76,76563,4571,11,2011
0,76,76563,5146,8,2011
0,76,76563,4819,10,2011
0,76,76563,4967,7,2011
0,76,76111,4410,1,2011
0,76,76111,4903,3,2011
0,76,76111,4038,2,2011
0,76,76111,4643,4,2011
0,76,76111,5308,9,2011
0,76,76111,4948,12,2011
0,76,76111,4876,5,2011
0,76,76111,4683,6,2011
0,76,76111,4571,11,2011
0,76,76111,5146,8,2011
0,76,76111,4819,10,2011
0,76,76111,4967,7,2011
0,76,76736,4410,1,2011
0,76,76736,4903,3,2011
0,76,76736,4038,2,2011
0,76,76736,4643,4,2011
0,76,76736,5308,9,2011
0,76,76736,4948,12,2011
0,76,76736,4876,5,2011
0,76,76736,4683,6,2011
0,76,76736,4571,11,2011
0,76,76736,5146,8,2011
0,76,76736,4819,10,2011
0,76,76736,4967,7,2011
0,76,76306,4410,1,2011
0,76,76306,4903,3,2011
0,76,76306,4038,2,2011
0,76,76306,4643,4,2011
0,76,76306,5308,9,2011
0,76,76306,4948,12,2011
0,76,76306,4876,5,2011
0,76,76306,4683,6,2011
0,76,76306,4571,11,2011
0,76,76306,5146,8,2011
0,76,76306,4819,10,2011
0,76,76306,4967,7,2011
0,76,76109,4410,1,2011
0,76,76109,4903,3,2011
0,76,76109,4038,2,2011
0,76,76109,4643,4,2011
0,76,76109,5308,9,2011
0,76,76109,4948,12,2011
0,76,76109,4876,5,2011
0,76,76109,4683,6,2011
0,76,76109,4571,11,2011
0,76,76109,5146,8,2011
0,76,76109,4819,10,2011
0,76,76109,4967,7,2011
0,76,76520,4410,1,2011
0,76,76520,4903,3,2011
0,76,76520,4038,2,2011
0,76,76520,4643,4,2011
0,76,76520,5308,9,2011
0,76,76520,4948,12,2011
0,76,76520,4876,5,2011
0,76,76520,4683,6,2011
0,76,76520,4571,11,2011
0,76,76520,5146,8,2011
0,76,76520,4819,10,2011
0,76,76520,4967,7,2011
0,76,76834,4410,1,2011
0,76,76834,4903,3,2011
0,76,76834,4038,2,2011
0,76,76834,4643,4,2011
0,76,76834,5308,9,2011
0,76,76834,4948,12,2011
0,76,76834,4876,5,2011
0,76,76834,4683,6,2011
0,76,76834,4571,11,2011
0,76,76834,5146,8,2011
0,76,76834,4819,10,2011
0,76,76834,4967,7,2011
0,76,76622,4410,1,2011
0,76,76622,4903,3,2011
0,76,76622,4038,2,2011
0,76,76622,4643,4,2011
0,76,76622,5308,9,2011
0,76,76622,4948,12,2011
0,76,76622,4876,5,2011
0,76,76622,4683,6,2011
0,76,76622,4571,11,2011
0,76,76622,5146,8,2011
0,76,76622,4819,10,2011
0,76,76622,4967,7,2011
